sep=;
Agent1;Agent2;Domain;Agreement;Util1;Util2
PhoenixAgent;TimeBased_Boulware;movie date;YES;0.9000;0.7350
PhoenixAgent;TimeBased_Boulware;movie date;YES;0.9000;0.7350
PhoenixAgent;TimeBased_Boulware;movie date;YES;0.9000;0.7350
PhoenixAgent;TimeBased_Conceder;movie date;YES;0.9000;0.7350
PhoenixAgent;TimeBased_Conceder;movie date;YES;0.9000;0.7350
PhoenixAgent;TimeBased_Conceder;movie date;YES;0.9000;0.7350
PhoenixAgent;AdaptiveAgent;movie date;YES;0.5100;1.0000
PhoenixAgent;AdaptiveAgent;movie date;YES;0.5100;1.0000
PhoenixAgent;AdaptiveAgent;movie date;YES;0.5100;1.0000
PhoenixAgent;MiCROAgent;movie date;YES;0.7500;0.7750
PhoenixAgent;MiCROAgent;movie date;YES;0.8200;0.8100
PhoenixAgent;MiCROAgent;movie date;YES;0.7500;0.7750
PhoenixAgent;PhoenixAgent;movie date;YES;0.5100;1.0000
PhoenixAgent;PhoenixAgent;movie date;YES;0.5100;1.0000
PhoenixAgent;PhoenixAgent;movie date;YES;0.6600;0.9600
PhoenixAgent;VortexAgent;movie date;YES;0.9000;0.7350
PhoenixAgent;VortexAgent;movie date;YES;0.9000;0.7350
PhoenixAgent;VortexAgent;movie date;YES;0.9000;0.7350
VortexAgent;RandomAgent;movie date;YES;1.0000;0.2350
VortexAgent;RandomAgent;movie date;YES;1.0000;0.2350
VortexAgent;RandomAgent;movie date;YES;1.0000;0.2350
VortexAgent;TimeBased_Boulware;movie date;YES;0.8200;0.8100
VortexAgent;TimeBased_Boulware;movie date;YES;0.8200;0.8100
VortexAgent;TimeBased_Boulware;movie date;YES;0.8200;0.8100
VortexAgent;TimeBased_Conceder;movie date;YES;0.9000;0.7350
VortexAgent;TimeBased_Conceder;movie date;YES;0.9000;0.7350
VortexAgent;TimeBased_Conceder;movie date;YES;0.9000;0.7350
VortexAgent;AdaptiveAgent;movie date;YES;0.5100;1.0000
VortexAgent;AdaptiveAgent;movie date;YES;0.5100;1.0000
VortexAgent;AdaptiveAgent;movie date;YES;0.5100;1.0000
VortexAgent;MiCROAgent;movie date;YES;0.8200;0.8100
VortexAgent;MiCROAgent;movie date;YES;0.8200;0.8100
VortexAgent;MiCROAgent;movie date;YES;0.8200;0.8100
